Acceleration [m/s^2],time [s],Y(f),Frequency [Hz]
-1.66E-03,2.71,0.000553741,3.763888889
-5.83E-03,2.72,0.000117045,3.777777778
-7.06E-03,2.73,0.000792459,3.791666667
-7.33E-03,2.74,0.000527595,3.805555556
-2.29E-03,2.75,0.000280627,3.819444444
5.95E-03,2.76,0.000517862,3.833333333
7.21E-03,2.77,0.000927682,3.847222222
4.91E-03,2.78,0.000136703,3.861111111
-3.44E-04,2.79,0.000774409,3.875
-4.21E-03,2.8,0.00054613,3.888888889
-7.03E-03,2.81,0.000785304,3.902777778
-5.83E-03,2.82,0.000520817,3.916666667
2.32E-04,2.83,0.000309624,3.930555556
5.82E-03,2.84,0.000541423,3.944444444
9.81E-03,2.85,0.000959373,3.958333333
7.24E-03,2.86,0.000509376,3.972222222
-3.91E-04,2.87,0.00042695,3.986111111
-7.65E-03,2.88,2.66E-05,4
-1.08E-02,2.89,0.000465525,4.013888889
-7.80E-03,2.9,0.000304968,4.027777778
4.14E-03,2.91,4.22E-05,4.041666667
1.49E-02,2.92,0.000292507,4.055555556
1.39E-02,2.93,0.000206968,4.069444444
3.73E-03,2.94,0.000127621,4.083333333
-9.81E-03,2.95,0.00022792,4.097222222
-1.48E-02,2.96,0.000105578,4.111111111
-8.56E-03,2.97,0.000522644,4.125
3.12E-03,2.98,0.000316676,4.138888889
1.08E-02,2.99,0.000253202,4.152777778
9.10E-03,3,4.69E-05,4.166666667
9.53E-04,3.01,0.000129239,4.180555556
-8.92E-03,3.02,0.00019749,4.194444444
-6.96E-03,3.03,0.000203943,4.208333333
6.15E-04,3.04,0.000348274,4.222222222
2.09E-03,3.05,0.00049774,4.236111111
-1.88E-03,3.06,0.000130243,4.25
-5.44E-03,3.07,0.000315569,4.263888889
-1.32E-03,3.08,2.23E-05,4.277777778
7.55E-03,3.09,0.000111777,4.291666667
1.22E-02,3.1,9.01E-05,4.305555556
7.87E-03,3.11,0.000118416,4.319444444
-2.11E-03,3.12,0.000182094,4.333333333
-1.43E-02,3.13,0.000236954,4.347222222
-1.59E-02,3.14,0.000104658,4.361111111
-6.39E-03,3.15,8.70E-05,4.375
1.00E-02,3.16,4.84E-05,4.388888889
2.24E-02,3.17,0.000121395,4.402777778
1.91E-02,3.18,2.75E-05,4.416666667
4.64E-03,3.19,7.46E-05,4.430555556
-1.19E-02,3.2,0.000113214,4.444444444
-2.09E-02,3.21,0.00011513,4.458333333
-1.46E-02,3.22,0.000148389,4.472222222
-1.29E-03,3.23,7.86E-05,4.486111111
1.21E-02,3.24,0.000200024,4.5
1.59E-02,3.25,0.00019457,4.513888889
8.98E-03,3.26,4.77E-05,4.527777778
-2.52E-03,3.27,9.47E-05,4.541666667
-7.88E-03,3.28,1.71E-05,4.555555556
-7.90E-03,3.29,7.54E-05,4.569444444
-5.36E-03,3.3,0.000100322,4.583333333
-1.53E-03,3.31,8.22E-05,4.597222222
-2.02E-03,3.32,6.47E-05,4.611111111
-3.39E-03,3.33,6.19E-05,4.625
-1.53E-03,3.34,0.00011588,4.638888889
3.90E-03,3.35,0.000175983,4.652777778
1.42E-02,3.36,1.28E-05,4.666666667
1.74E-02,3.37,0.000207123,4.680555556
8.85E-03,3.38,7.54E-05,4.694444444
-8.21E-03,3.39,9.05E-05,4.708333333
-2.50E-02,3.4,0.000193955,4.722222222
-2.64E-02,3.41,8.60E-05,4.736111111
-1.04E-02,3.42,9.82E-05,4.75
1.74E-02,3.43,9.35E-05,4.763888889
3.84E-02,3.44,8.89E-05,4.777777778
3.33E-02,3.45,0.000170704,4.791666667
3.01E-03,3.46,0.000139666,4.805555556
-2.82E-02,3.47,5.12E-05,4.819444444
-4.06E-02,3.48,3.37E-05,4.833333333
-2.92E-02,3.49,0.000130256,4.847222222
8.99E-04,3.5,1.71E-05,4.861111111
3.04E-02,3.51,0.000151931,4.875
4.08E-02,3.52,8.10E-05,4.888888889
2.30E-02,3.53,6.36E-05,4.902777778
-6.62E-03,3.54,9.44E-05,4.916666667
-2.83E-02,3.55,4.14E-05,4.930555556
-2.87E-02,3.56,4.11E-06,4.944444444
-1.16E-02,3.57,0.000149511,4.958333333
1.04E-02,3.58,3.27E-05,4.972222222
2.36E-02,3.59,4.15E-05,4.986111111
1.88E-02,3.6,6.00E-05,5
3.18E-03,3.61,2.92E-05,5.013888889
-1.24E-02,3.62,3.12E-05,5.027777778
-1.56E-02,3.63,4.87E-05,5.041666667
-9.20E-03,3.64,4.97E-05,5.055555556
2.37E-03,3.65,6.01E-05,5.069444444
9.69E-03,3.66,2.93E-05,5.083333333
6.07E-03,3.67,9.62E-05,5.097222222
-1.30E-03,3.68,7.56E-05,5.111111111
-8.53E-03,3.69,5.34E-05,5.125
-8.26E-03,3.7,5.90E-05,5.138888889
-2.26E-03,3.71,4.41E-05,5.152777778
5.07E-03,3.72,1.92E-05,5.166666667
9.18E-03,3.73,0.000145204,5.180555556
6.87E-03,3.74,0.000103402,5.194444444
-8.02E-04,3.75,6.47E-05,5.208333333
-6.12E-03,3.76,7.70E-05,5.222222222
-5.23E-03,3.77,8.06E-05,5.236111111
-1.99E-03,3.78,2.70E-05,5.25
1.18E-03,3.79,3.89E-05,5.263888889
2.52E-03,3.8,4.23E-05,5.277777778
4.02E-03,3.81,7.67E-05,5.291666667
5.61E-03,3.82,2.49E-05,5.305555556
5.00E-03,3.83,5.43E-05,5.319444444
3.42E-03,3.84,8.41E-05,5.333333333
-1.61E-03,3.85,3.96E-05,5.347222222
-7.46E-03,3.86,5.29E-05,5.361111111
-9.70E-03,3.87,9.38E-05,5.375
-6.04E-03,3.88,3.40E-05,5.388888889
1.34E-03,3.89,4.23E-05,5.402777778
7.55E-03,3.9,3.29E-05,5.416666667
9.73E-03,3.91,3.49E-05,5.430555556
4.25E-03,3.92,8.26E-05,5.444444444
-3.76E-03,3.93,8.83E-05,5.458333333
-8.48E-03,3.94,5.53E-05,5.472222222
-6.16E-03,3.95,3.43E-05,5.486111111
-1.40E-03,3.96,1.83E-05,5.5
3.77E-03,3.97,4.11E-05,5.513888889
4.26E-03,3.98,0.000116597,5.527777778
3.46E-03,3.99,6.03E-05,5.541666667
2.32E-03,4,2.64E-05,5.555555556
-5.35E-04,4.01,4.57E-05,5.569444444
-6.05E-04,4.02,6.20E-05,5.583333333
-1.34E-03,4.03,6.17E-05,5.597222222
-2.50E-03,4.04,2.70E-05,5.611111111
-4.14E-03,4.05,2.72E-05,5.625
-2.47E-03,4.06,7.55E-05,5.638888889
-2.13E-04,4.07,5.74E-05,5.652777778
1.93E-03,4.08,6.87E-05,5.666666667
5.48E-03,4.09,1.74E-05,5.680555556
4.63E-03,4.1,3.44E-05,5.694444444
1.51E-03,4.11,6.11E-06,5.708333333
-4.18E-03,4.12,1.21E-05,5.722222222
-9.01E-03,4.13,2.58E-05,5.736111111
-7.69E-03,4.14,2.78E-05,5.75
-3.39E-03,4.15,5.42E-05,5.763888889
5.98E-03,4.16,3.01E-05,5.777777778
9.74E-03,4.17,4.03E-05,5.791666667
8.16E-03,4.18,3.56E-05,5.805555556
3.19E-03,4.19,2.68E-05,5.819444444
-5.04E-03,4.2,5.32E-05,5.833333333
-1.05E-02,4.21,1.04E-05,5.847222222
-1.00E-02,4.22,4.06E-05,5.861111111
-2.39E-03,4.23,4.24E-05,5.875
5.12E-03,4.24,3.66E-05,5.888888889
9.69E-03,4.25,2.59E-05,5.902777778
1.05E-02,4.26,5.55E-05,5.916666667
5.35E-03,4.27,2.30E-05,5.930555556
-3.79E-03,4.28,7.62E-05,5.944444444
-1.20E-02,4.29,1.86E-05,5.958333333
-1.28E-02,4.3,5.27E-05,5.972222222
-4.56E-03,4.31,7.22E-05,5.986111111
6.41E-03,4.32,2.28E-05,6
1.48E-02,4.33,7.74E-05,6.013888889
1.42E-02,4.34,3.76E-05,6.027777778
5.86E-03,4.35,2.35E-05,6.041666667
-5.80E-03,4.36,3.56E-05,6.055555556
-1.38E-02,4.37,6.98E-05,6.069444444
-1.37E-02,4.38,4.45E-05,6.083333333
-3.29E-03,4.39,2.75E-05,6.097222222
7.76E-03,4.4,2.35E-05,6.111111111
1.24E-02,4.41,2.50E-05,6.125
9.90E-03,4.42,1.53E-05,6.138888889
3.65E-03,4.43,7.73E-05,6.152777778
-4.00E-03,4.44,1.75E-05,6.166666667
-8.68E-03,4.45,0.000140701,6.180555556
-7.26E-03,4.46,2.18E-05,6.194444444
-5.19E-03,4.47,5.05E-05,6.208333333
-2.55E-03,4.48,2.95E-05,6.222222222
2.88E-03,4.49,1.62E-05,6.236111111
6.83E-03,4.5,2.33E-05,6.25
8.87E-03,4.51,2.65E-05,6.263888889
5.71E-03,4.52,2.65E-05,6.277777778
-6.94E-04,4.53,1.83E-05,6.291666667
-6.57E-03,4.54,8.72E-06,6.305555556
-1.08E-02,4.55,2.62E-05,6.319444444
-6.99E-03,4.56,5.67E-05,6.333333333
2.03E-03,4.57,5.80E-05,6.347222222
9.25E-03,4.58,4.16E-05,6.361111111
9.74E-03,4.59,3.67E-05,6.375
2.64E-03,4.6,1.81E-05,6.388888889
-4.53E-03,4.61,6.10E-06,6.402777778
-5.96E-03,4.62,4.57E-05,6.416666667
-2.26E-03,4.63,4.35E-06,6.430555556
-1.17E-03,4.64,4.53E-05,6.444444444
-2.84E-03,4.65,5.54E-06,6.458333333
-3.70E-03,4.66,3.76E-05,6.472222222
-4.64E-03,4.67,3.84E-05,6.486111111
-5.27E-04,4.68,2.43E-05,6.5
1.01E-02,4.69,2.78E-05,6.513888889
1.83E-02,4.7,1.48E-05,6.527777778
1.16E-02,4.71,5.68E-05,6.541666667
-7.91E-03,4.72,2.52E-05,6.555555556
-2.02E-02,4.73,3.38E-05,6.569444444
-1.51E-02,4.74,4.16E-05,6.583333333
2.24E-03,4.75,1.12E-05,6.597222222
2.19E-02,4.76,5.37E-05,6.611111111
2.85E-02,4.77,1.93E-05,6.625
1.36E-02,4.78,3.72E-05,6.638888889
-1.71E-02,4.79,1.73E-05,6.652777778
-3.73E-02,4.8,5.35E-05,6.666666667
-2.84E-02,4.81,2.01E-05,6.680555556
-2.50E-03,4.82,2.62E-05,6.694444444
2.23E-02,4.83,3.32E-05,6.708333333
2.36E-02,4.84,1.30E-05,6.722222222
8.03E-03,4.85,1.16E-05,6.736111111
-1.02E-02,4.86,1.25E-05,6.75
-1.78E-02,4.87,1.81E-05,6.763888889
-7.44E-03,4.88,4.89E-05,6.777777778
1.12E-02,4.89,2.62E-05,6.791666667
1.70E-02,4.9,2.53E-05,6.805555556
7.96E-03,4.91,5.87E-05,6.819444444
-3.39E-03,4.92,1.04E-05,6.833333333
-7.86E-03,4.93,3.13E-05,6.847222222
-3.70E-03,4.94,4.71E-05,6.861111111
5.41E-03,4.95,1.95E-05,6.875
8.61E-03,4.96,2.81E-05,6.888888889
-2.87E-03,4.97,3.64E-05,6.902777778
-1.99E-02,4.98,1.79E-05,6.916666667
-2.54E-02,4.99,4.88E-05,6.930555556
-8.26E-03,5,4.97E-05,6.944444444
1.28E-02,5.01,6.04E-05,6.958333333
2.22E-02,5.02,2.59E-05,6.972222222
1.69E-02,5.03,1.59E-05,6.986111111
1.98E-03,5.04,2.14E-05,7
-2.09E-02,5.05,4.26E-05,7.013888889
-3.11E-02,5.06,1.44E-05,7.027777778
-1.33E-02,5.07,3.11E-05,7.041666667
1.63E-02,5.08,3.69E-05,7.055555556
3.10E-02,5.09,4.13E-05,7.069444444
2.02E-02,5.1,1.07E-05,7.083333333
1.63E-03,5.11,2.59E-05,7.097222222
-1.56E-02,5.12,7.63E-05,7.111111111
-2.38E-02,5.13,1.91E-05,7.125
-1.55E-02,5.14,1.48E-05,7.138888889
6.62E-03,5.15,3.72E-05,7.152777778
2.80E-02,5.16,1.31E-05,7.166666667
2.78E-02,5.17,2.94E-05,7.180555556
9.43E-03,5.18,5.27E-06,7.194444444
-1.52E-02,5.19,4.78E-05,7.208333333
-2.58E-02,5.2,2.31E-05,7.222222222
-1.55E-02,5.21,8.00E-06,7.236111111
4.24E-03,5.22,3.17E-05,7.25
1.52E-02,5.23,4.27E-05,7.263888889
1.12E-02,5.24,2.29E-05,7.277777778
-6.79E-03,5.25,3.67E-05,7.291666667
-2.37E-02,5.26,3.36E-05,7.305555556
-1.90E-02,5.27,2.55E-05,7.319444444
3.66E-03,5.28,4.12E-05,7.333333333
2.87E-02,5.29,1.75E-05,7.347222222
3.03E-02,5.3,3.84E-05,7.361111111
-1.63E-03,5.31,1.65E-05,7.375
-3.59E-02,5.32,2.98E-05,7.388888889
-4.24E-02,5.33,1.09E-05,7.402777778
-1.01E-02,5.34,1.41E-05,7.416666667
3.69E-02,5.35,1.35E-05,7.430555556
6.48E-02,5.36,2.27E-05,7.444444444
4.75E-02,5.37,2.16E-05,7.458333333
-1.58E-03,5.38,1.11E-05,7.472222222
-5.57E-02,5.39,1.52E-05,7.486111111
-7.42E-02,5.4,1.94E-05,7.5
-4.04E-02,5.41,2.57E-05,7.513888889
1.75E-02,5.42,3.59E-05,7.527777778
5.87E-02,5.43,3.65E-05,7.541666667
6.11E-02,5.44,6.05E-05,7.555555556
2.89E-02,5.45,1.71E-05,7.569444444
-2.01E-02,5.46,2.87E-05,7.583333333
-4.95E-02,5.47,3.09E-05,7.597222222
-4.67E-02,5.48,5.18E-05,7.611111111
-2.02E-02,5.49,2.89E-05,7.625
1.15E-02,5.5,2.60E-05,7.638888889
3.08E-02,5.51,2.12E-05,7.652777778
3.26E-02,5.52,1.73E-05,7.666666667
1.43E-02,5.53,2.01E-05,7.680555556
-6.99E-03,5.54,3.58E-05,7.694444444
-1.06E-02,5.55,4.97E-05,7.708333333
-6.33E-04,5.56,1.34E-05,7.722222222
1.24E-03,5.57,1.95E-05,7.736111111
-5.30E-03,5.58,2.68E-05,7.75
-1.54E-02,5.59,2.56E-05,7.763888889
-2.14E-02,5.6,2.20E-05,7.777777778
-1.36E-02,5.61,2.47E-05,7.791666667
1.06E-02,5.62,3.09E-05,7.805555556
3.84E-02,5.63,4.26E-05,7.819444444
4.42E-02,5.64,2.08E-05,7.833333333
1.57E-02,5.65,4.30E-05,7.847222222
-2.94E-02,5.66,2.90E-05,7.861111111
-5.63E-02,5.67,1.29E-05,7.875
-5.01E-02,5.68,3.39E-05,7.888888889
-1.44E-02,5.69,7.91E-06,7.902777778
2.41E-02,5.7,1.30E-05,7.916666667
4.31E-02,5.71,3.48E-05,7.930555556
3.46E-02,5.72,4.96E-05,7.944444444
1.38E-02,5.73,5.92E-05,7.958333333
-7.12E-03,5.74,1.45E-05,7.972222222
-1.95E-02,5.75,4.38E-05,7.986111111
-1.91E-02,5.76,1.14E-05,8
